Product_Name,Product_Price,Review,Date,Month,Year,Sentiment Score
"Candes 12 L Room/Personal Air Cooler(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",3999,great cooler excellent air flow and for this price its so amazing and unbelievablejust love it,23-07-14,July,2014,5
"Candes 12 L Room/Personal Air Cooler(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",3999,best budget  fit cooler nice cooling,25-10-13,October,2013,5
"Candes 12 L Room/Personal Air Cooler(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",3999,the quality is good but the power of air is decent,23-12-12,December,2012,3
"Candes 12 L Room/Personal Air Cooler(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",3999,very bad product its a only a fan,21-11-13,November,2013,1
"Candes 12 L Room/Personal Air Cooler(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",3999,ok ok product,13-07-13,July,2013,3
"Candes 12 L Room/Personal Air Cooler(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",3999,the cooler is really fantastic and provides good air flow highly recommended,29-04-13,April,2013,5
"Candes 12 L Room/Personal Air Cooler(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",3999,very good product,19-10-13,October,2013,5
"Candes 12 L Room/Personal Air Cooler(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",3999,very nice,07-10-14,October,2014,3
"Candes 12 L Room/Personal Air Cooler(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",3999,very bad cooler,24-03-14,March,2014,1
"Candes 12 L Room/Personal Air Cooler(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",3999,very good,10-11-13,November,2013,4
"Candes 60 L Room/Personal Air Cooler(White, Black, CRETA)",8999,beautiful product good material and perfectly working,05-11-13,November,2013,5
"Candes 60 L Room/Personal Air Cooler(White, Black, CRETA)",8999,awesome,20-11-13,November,2013,5
"Candes 60 L Room/Personal Air Cooler(White, Black, CRETA)",8999,good,07-04-14,April,2014,5
"Candes 60 L Room/Personal Air Cooler(White, Black, CRETA)",8999,wonderful product must buy,21-11-13,November,2013,5
"Candes 60 L Room/Personal Air Cooler(White, Black, CRETA)",8999,nice air cooler smart cool breeze producer,17-02-14,February,2014,5
"Candes 60 L Room/Personal Air Cooler(White, Black, CRETA)",8999,awsm,01-04-13,April,2013,5
"Candes 60 L Room/Personal Air Cooler(White, Black, CRETA)",8999,nice product,03-02-14,February,2014,5
"Candes 60 L Room/Personal Air Cooler(White, Black, CRETA)",8999,great cooler,07-04-13,April,2013,5
"Candes 60 L Room/Personal Air Cooler(White, Black, CRETA)",8999,nice product,05-02-14,February,2014,5
"Candes 60 L Room/Personal Air Cooler(White, Black, CRETA)",8999,good,01-07-14,July,2014,5
"Candes 60 L Room/Personal Air Cooler(White, Black, CRETA)",8999,very nice product,27-10-13,October,2013,5
"Candes 60 L Room/Personal Air Cooler(White, Black, CRETA)",8999,good product,29-12-13,December,2013,5
"Candes 60 L Room/Personal Air Cooler(White, Black, CRETA)",8999,nice product with the reasonable price,11-05-13,May,2013,5
"Candes 60 L Room/Personal Air Cooler(White, Black, CRETA)",8999,i like it,04-04-14,April,2014,5
"Candes 60 L Room/Personal Air Cooler(White, Black, CRETA)",8999,very goodd,23-03-14,March,2014,5
"Candes 60 L Room/Personal Air Cooler(White, Black, CRETA)",8999,good product,28-01-14,January,2014,5
"Candes 60 L Room/Personal Air Cooler(White, Black, CRETA)",8999,good product kawaleti,26-07-12,July,2012,5
"Candes 60 L Room/Personal Air Cooler(White, Black, CRETA)",8999,very good cooler amazing beautiful designs affordable price,21-11-12,November,2012,5
"Candes 60 L Room/Personal Air Cooler(White, Black, CRETA)",8999,using since months great experience,28-12-12,December,2012,5
"Candes 60 L Room/Personal Air Cooler(White, Black, CRETA)",8999,very good performance and nice look,25-10-13,October,2013,5
"Candes 60 L Room/Personal Air Cooler(White, Black, CRETA)",8999,product is good having strong thrust of air flow must buy,16-10-13,October,2013,4
"Candes 60 L Room/Personal Air Cooler(White, Black, CRETA)",8999,very good,15-04-13,April,2013,5
"Candes 60 L Room/Personal Air Cooler(White, Black, CRETA)",8999,bad quality,08-03-13,March,2013,2
